Code;NameRu;NameEn;NameUa;CountryCode;CityCode;Popularity;Latitude;Longitude
BOD;Бордо;Bordeaux;Бордо;FR;BOD;5;44.8294;-0.714444
BOG;Эльдорадо;Eldorado;Эльдорадо;CO;BOG;2;4.7;-74.15
BOH;Борнмут;Bournemouth;Борнмут;GB;BOH;0;50.7806;-1.83694
BOI;Boise Gowen Field;Boise Gowen Field;Boise Gowen Field;US;BOI;0;43.5653;-116.225
BOJ;Бургас;Bourgas;Бургас;BG;BOJ;4;42.4167;27.2833
BOM;Chhatrapati Shivaji;Chhatrapati Shivaji;Chhatrapati Shivaji;IN;BOM;51;19.0881;72.8517
BON;Flamingo Field;Flamingo Field;Flamingo Field;AN;BON;0;12.1342;-68.2733
BOO;Bodo;Bodo;Bodo;NO;BOO;0;67.2692;14.3722
BOS;Logan;Logan;Logan;US;BOS;24;42.365;-71.0053
BOY;Borgo;Borgo;Borgo;BF;BOY;0;11.1636;-4.32444
BPN;Sepingan;Sepingan;Sepingan;ID;BPN;56;-1.28333;116.833
BPS;Porto Seguro;Porto Seguro;Porto Seguro;BR;BPS;0;-16.5333;-39.0833
BPT;Джефферсон-Сити;Jefferson Cty;Джефферсон-Сіті;US;BPT;0;29.9508;-94.02
BQK;Gylnco;Gylnco Jet Port;Gylnco;US;BQK;0;31.1667;-81.4833
BQL;Boulia;Boulia;Boulia;AU;BQL;0;-22.9;139.9
BQN;Borinquen;Borinquen;Borinquen;US;BQN;0;18.4958;-67.13
BQS;Благовещенск;Blagoveshchensk;Благовєщенськ;RU;BQS;0;50.4167;127.4
BRC;San Carlos De Bariloche;San Carlos De Bariloche;San Carlos De Bariloche;AR;BRC;0;-41.1497;-71.1583
BRD;Crowwing окр.;Crowwing Cty;Crowwing окр.;US;BRD;0;46.3972;-94.1375
BRE;Бремен;Bremen;Бремен;DE;BRE;0;53.0467;8.79
BRI;Бари;Bari;Барі;IT;BRI;8;41.1411;16.7883
BRL;Burlington;Burlington;Burlington;US;BRL;0;40.7861;-91.1233
BRM;Barquisimeto;Airport Barquisimeto;Barquisimeto;VE;BRM;0;10.0453;-69.3561
BRN;Belp;Belp;Belp;CH;BRN;3;46.9153;7.49917
BRO;South Padre Island;South Padre Island;South Padre Island;US;BRO;0;25.9089;-97.4233
BRQ;Turnay;Turnay;Turnay;CZ;BRQ;0;49.15;16.7
BRR;North Bay;North Bay;North Bay;GB;BRR;0;57.0233;-7.44028
BRS;Бристоль;Bristol;Брістоль;GB;BRS;0;51.3817;-2.70889
BRU;Брюссель национальный;Brussels National;Брюссель национальный;BE;BRU;141;50.9017;4.49417
BRW;Barrow WBAS;Barrow WBAS;Barrow WBAS;US;BRW;0;71.2833;-156.769
BSB;Бразилиа;Brasilia;Бразіліа;BR;BSB;1;-15.8606;-47.9153
BSD;Баошань;Baoshan;Баошань;CN;BSD;0;25.15;99.15
BSK;Biskra;Biskra;Biskra;DZ;BSK;0;34.7933;5.73806
BSL;Базель;Basel EuroAirport Swiss;Базель;CH;BSL;1;47.6556;7.65278
BSR;Басра;Basra;Басра;IQ;BSR;0;30.5556;47.7914
BTH;Hang Nadim;Hang Nadim;Hang Nadim;ID;BTH;0;1.06667;104.133
BTJ;Blang Bintang;Blang Bintang;Blang Bintang;ID;BTJ;0;5.52;95.4194
BTK;Братск;Bratsk;Братск;RU;BTK;4;56.3667;101.817
BTM;Bert Mooney;Bert Mooney;Bert Mooney;US;BTM;0;45.9511;-112.494
BTR;Ryan;Ryan;Ryan;US;BTR;0;30.5317;-91.1506
